,Training Steps,Mean Reward,Time elapsed
162,1335296,tensor(6.5625),6503.753834247589
163,1343488,tensor(4.0625),6541.961018562317
164,1351680,tensor(5.3125),6579.672536849976
165,1359872,tensor(3.7500),6619.7214958667755
166,1368064,tensor(3.4375),6659.040391206741
167,1376256,tensor(6.2500),6696.71426153183
168,1384448,tensor(3.7500),6738.227029323578
169,1392640,tensor(4.3750),6778.320578098297
170,1400832,tensor(4.0625),6816.869269609451
171,1409024,tensor(5.6250),6859.239848613739
172,1417216,tensor(5.),6900.898965120316
173,1425408,tensor(5.9375),6942.092967748642
174,1433600,tensor(5.),6984.472077131271
175,1441792,tensor(4.6875),7022.859772205353
176,1449984,tensor(6.2500),7061.910174608231
177,1458176,tensor(5.6250),7102.935930490494
178,1466368,tensor(5.),7142.8408806324005
179,1474560,tensor(3.7500),7182.157861709595
180,1482752,tensor(5.6250),7222.9361963272095
181,1490944,tensor(3.7500),7263.323348760605
182,1499136,tensor(3.4375),7302.211526632309
183,1507328,tensor(6.2500),7342.602655172348
184,1515520,tensor(3.4375),7381.398686170578
185,1523712,tensor(4.6875),7418.592298269272
186,1531904,tensor(5.3125),7465.506942987442
187,1540096,tensor(5.6250),7506.657912015915
188,1548288,tensor(3.4375),7547.537146091461
189,1556480,tensor(3.7500),7587.8994336128235
190,1564672,tensor(4.0625),7626.298343658447
191,1572864,tensor(5.9375),7665.628014087677
192,1581056,tensor(3.1250),7707.212742805481
193,1589248,tensor(3.1250),7744.405985116959
194,1597440,tensor(4.3750),7782.813702106476
195,1605632,tensor(5.),7826.698180198669
196,1613824,tensor(4.0625),7866.41478395462
197,1622016,tensor(5.3125),7904.633648633957
198,1630208,tensor(3.7500),7946.325596570969
199,1638400,tensor(5.),7987.144909858704
200,1646592,tensor(3.7500),8028.524382829666
201,1654784,tensor(2.8125),8072.050281763077
202,1662976,tensor(5.6250),8110.243872880936
203,1671168,tensor(5.6250),8148.537957429886
204,1679360,tensor(4.0625),8192.869446277618
205,1687552,tensor(3.1250),8232.274310112
206,1695744,tensor(5.6250),8272.046932220459
207,1703936,tensor(6.5625),8312.263953447342
208,1712128,tensor(3.1250),8350.82651925087
209,1720320,tensor(5.9375),8390.77266407013
210,1728512,tensor(4.3750),8433.058531999588
211,1736704,tensor(4.3750),8473.714377641678
212,1744896,tensor(7.5000),8514.084122419357
213,1753088,tensor(3.4375),8555.678819417953
214,1761280,tensor(5.),8595.251381397247
215,1769472,tensor(5.3125),8634.086084127426
216,1777664,tensor(3.4375),8673.453163146973
217,1785856,tensor(4.0625),8711.775578975677
218,1794048,tensor(4.6875),8754.025879621506
219,1802240,tensor(6.5625),8792.906608104706
220,1810432,tensor(4.3750),8832.819015264511
221,1818624,tensor(5.3125),8874.990708589554
222,1826816,tensor(4.6875),8915.913394451141
223,1835008,tensor(3.1250),8955.052660226822
224,1843200,tensor(5.),8994.56083726883
225,1851392,tensor(6.5625),9035.88736486435
226,1859584,tensor(3.4375),9074.80826640129
227,1867776,tensor(4.0625),9114.01037812233
228,1875968,tensor(6.5625),9153.942967891693
229,1884160,tensor(3.7500),9192.171865224838
230,1892352,tensor(4.6875),9231.716343164444
231,1900544,tensor(3.1250),9270.071679592133
232,1908736,tensor(4.6875),9307.95853805542
233,1916928,tensor(1.8750),9347.95876288414
234,1925120,tensor(3.4375),9389.992247104645
235,1933312,tensor(5.3125),9431.123664855957
236,1941504,tensor(5.9375),9470.984723567963
237,1949696,tensor(5.6250),9518.453028440475
238,1957888,tensor(3.4375),9557.666289567947
239,1966080,tensor(4.3750),9598.098817825317
240,1974272,tensor(3.7500),9642.205380439758
241,1982464,tensor(3.4375),9680.572577238083
242,1990656,tensor(4.6875),9718.534710645676
243,1998848,tensor(5.3125),9761.856173276901
244,2007040,tensor(5.6250),9801.24184179306
245,2015232,tensor(4.6875),9840.248510360718
246,2023424,tensor(5.6250),9879.495591163635
247,2031616,tensor(5.3125),9919.350942373276
248,2039808,tensor(4.6875),9961.1308157444
249,2048000,tensor(4.0625),10001.57463812828
250,2056192,tensor(5.9375),10041.327298164368
251,2064384,tensor(4.0625),10080.718720197678
252,2072576,tensor(5.6250),10120.872944355011
253,2080768,tensor(4.3750),10160.893907308578
254,2088960,tensor(5.3125),10200.123549461365
255,2097152,tensor(4.3750),10238.584159851074
256,2105344,tensor(6.8750),10278.733940124512
257,2113536,tensor(5.3125),10317.112085580826
258,2121728,tensor(4.3750),10356.473420858383
259,2129920,tensor(5.),10399.259762048721
260,2138112,tensor(5.9375),10437.302140712738
261,2146304,tensor(4.3750),10476.60493850708
262,2154496,tensor(4.0625),10515.221045970917
263,2162688,tensor(3.1250),10554.475722551346
264,2170880,tensor(5.6250),10594.860124588013
265,2179072,tensor(3.7500),10635.99244093895
266,2187264,tensor(3.1250),10677.812987565994
267,2195456,tensor(3.1250),10717.981925010681
268,2203648,tensor(4.3750),10756.993489027023
269,2211840,tensor(4.0625),10796.684536457062
270,2220032,tensor(4.0625),10836.761063337326
271,2228224,tensor(5.9375),10875.76311469078
272,2236416,tensor(5.3125),10915.392915725708
273,2244608,tensor(4.0625),10954.827940702438
274,2252800,tensor(4.6875),10992.714911937714
275,2260992,tensor(4.0625),11031.56661272049
276,2269184,tensor(3.7500),11070.3897087574
277,2277376,tensor(6.2500),11108.961019515991
278,2285568,tensor(5.),11153.871505737305
279,2293760,tensor(4.0625),11192.28845500946
280,2301952,tensor(3.7500),11234.829790830612
281,2310144,tensor(3.1250),11279.597835302353
282,2318336,tensor(4.6875),11318.925829172134
283,2326528,tensor(5.),11358.310579299927
284,2334720,tensor(5.9375),11397.321094036102
285,2342912,tensor(5.),11436.053384304047
286,2351104,tensor(3.1250),11473.597776651382
287,2359296,tensor(4.0625),11511.529772996902
288,2367488,tensor(4.0625),11550.335587739944
289,2375680,tensor(4.0625),11588.695085048676
290,2383872,tensor(4.0625),11629.455440998077
291,2392064,tensor(4.0625),11668.56621146202
292,2400256,tensor(6.8750),11706.741307735443
293,2408448,tensor(4.3750),11745.190956830978
294,2416640,tensor(3.7500),11786.779096841812
295,2424832,tensor(4.3750),11827.185322999954
296,2433024,tensor(4.6875),11867.119489192963
297,2441216,tensor(6.8750),11915.193123340607
298,2449408,tensor(3.4375),11953.401532649994
299,2457600,tensor(2.5000),11991.220113277435
300,2465792,tensor(3.7500),12029.331727266312
301,2473984,tensor(5.3125),12069.120871782303
302,2482176,tensor(5.),12109.325486898422
303,2490368,tensor(5.9375),12148.911584377289
304,2498560,tensor(4.3750),12186.498854398727
305,2506752,tensor(4.6875),12224.652129650116
306,2514944,tensor(5.6250),12264.423211097717
307,2523136,tensor(3.7500),12303.271721124649
308,2531328,tensor(4.3750),12341.277804851532
309,2539520,tensor(4.0625),12380.154554843903
310,2547712,tensor(4.0625),12419.479301691055
311,2555904,tensor(4.3750),12457.877665996552
312,2564096,tensor(5.6250),12496.033519506454
313,2572288,tensor(5.9375),12539.263849258423
314,2580480,tensor(4.3750),12581.929606199265
315,2588672,tensor(6.8750),12621.911766290665
316,2596864,tensor(5.6250),12665.035268306732
317,2605056,tensor(3.4375),12703.852848291397
318,2613248,tensor(4.3750),12741.815236091614
319,2621440,tensor(2.8125),12780.872326850891
320,2629632,tensor(4.6875),12819.06429386139
321,2637824,tensor(3.1250),12858.109770774841
322,2646016,tensor(5.9375),12897.327718734741
323,2654208,tensor(4.6875),12935.600296735764
324,2662400,tensor(4.3750),12976.111984729767
325,2670592,tensor(6.5625),13014.894611358643
326,2678784,tensor(4.6875),13053.188820362091
327,2686976,tensor(5.6250),13092.761453390121
328,2695168,tensor(2.5000),13133.566803455353
329,2703360,tensor(3.4375),13173.473608493805
330,2711552,tensor(5.),13212.14006114006
331,2719744,tensor(6.8750),13252.182285547256
332,2727936,tensor(3.1250),13291.464970350266
333,2736128,tensor(5.3125),13330.798923254013
334,2744320,tensor(6.5625),13371.174358844757
335,2752512,tensor(4.0625),13413.053770303726
336,2760704,tensor(5.),13454.480006456375
337,2768896,tensor(5.),13493.58493733406
338,2777088,tensor(4.6875),13535.258902549744
339,2785280,tensor(5.9375),13575.030281066895
340,2793472,tensor(3.1250),13615.111118793488
341,2801664,tensor(5.6250),13659.133826971054
342,2809856,tensor(5.),13698.389078378677
343,2818048,tensor(5.9375),13738.751486301422
344,2826240,tensor(2.8125),13779.595564603806
345,2834432,tensor(5.),13819.361427545547
346,2842624,tensor(3.4375),13858.570857524872
347,2850816,tensor(5.3125),13897.44662308693
348,2859008,tensor(3.4375),13936.472594499588
349,2867200,tensor(4.3750),13973.896152973175
350,2875392,tensor(5.3125),14013.384444236755
351,2883584,tensor(4.6875),14052.336849212646
352,2891776,tensor(4.3750),14090.357353925705
353,2899968,tensor(6.5625),14130.693655967712
354,2908160,tensor(4.0625),14169.513322353363
355,2916352,tensor(2.1875),14209.504796028137
356,2924544,tensor(5.),14250.789545297623
357,2932736,tensor(5.3125),14295.869704723358
358,2940928,tensor(4.6875),14335.248042106628
359,2949120,tensor(5.9375),14376.400473117828
360,2957312,tensor(6.2500),14419.670390605927
